Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
GFN,General Finance Corp,18.95,6.78,55.71%,19.01,18.9,3273597,188735,4/16/2021
MTSL,Mer Telemanagement Solutions Ltd,3.86,0.99,34.49%,5.68,3.75,94646352,5209508,4/16/2021
STON,Stonemor Partners LP,2.18,0.52,31.33%,2.27,1.81,10120940,2626292,4/16/2021
TIRX,Tian Ruixiang Holdings Ltd Cl A,16.2,3.83,30.96%,17.5,11.1,19353525,3522136,4/16/2021
INMB,Inmune Bio Inc,13.62,2.85,26.46%,14,10.52,572440,143252,4/16/2021
BTX,Brooklyn Immunotherapeutics Inc,7.94,1.6,25.24%,8.99,6.42,3966135,N/A,4/16/2021
CGA,China Green Agriculture,13.15,2.3,21.20%,13.48,10.97,777874,282774,4/16/2021
CLOV,Clover Health Investments Corp,8.82,1.47,20.00%,10.03,7.23,247431953,23708953,4/16/2021
RFP,Resolute Forest Products Inc,14.79,2.09,16.46%,15.12,12.83,3729581,873474,4/16/2021
TUYA,Tuya Inc ADR,20.28,2.67,15.16%,20.5,17.91,1968144,N/A,4/16/2021
LFMD,Lifemd Inc,9.97,1.29,14.86%,10.36,7.79,7476949,1647597,4/16/2021
EBON,Ebang International Holdings Inc Cl A,4.82,0.6,14.22%,5.18,4.18,81438852,25772844,4/16/2021
WKHS,Workhorse Grp,13.23,1.58,13.56%,13.94,11.74,34249238,11052572,4/16/2021
LSCC,Lattice Semicond,57.92,6.77,13.24%,58.38,55.53,11073858,1561903,4/16/2021
SPLP,Steel Partners Hlds,19,2.22,13.23%,19.28,16.72,80747,28032,4/16/2021
COMS,Comsovereign Holding Corp,2.33,0.27,13.11%,2.35,1.96,1406646,1325237,4/16/2021
NVAX,Novavax Inc,227.35,25.26,12.50%,228.1,200.5,4494785,2947529,4/16/2021
EFOI,Energy Focus Inc,4.21,0.46,12.27%,4.55,3.87,6972906,449885,4/16/2021
SCR,Score Media and Gaming Inc,21.05,2.29,12.21%,21.41,18.58,463779,553789,4/16/2021
CREG,China Recycling Ener,7.46,0.72,10.68%,8.37,6.92,643856,118773,4/16/2021
RUN,Sunrun Inc,52.16,4.96,10.51%,53,48.2,10336003,5865955,4/16/2021
YI,111 Inc ADR,12.23,1.14,10.28%,12.63,11.25,1148688,702334,4/16/2021
CLIR,Clearsign Combustion,5.13,0.47,10.09%,5.18,4.57,293510,275100,4/16/2021
KBSF,Kbs Fashion Gp Ltd,2.87,0.26,9.96%,3.35,2.61,1262748,462472,4/16/2021
THRY,Thryv Holdings Inc,26.22,2.32,9.71%,26.5,23.61,129271,87234,4/16/2021
HROW,Harrow Health Inc,8,0.7,9.59%,8.25,7.34,756092,174040,4/16/2021
