Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
TRVN,Trevena Inc,2.25,0.54,31.58%,2.31,1.72,20178391,2908645,4/15/2021
WHLM,Wilhelmina Intl,10.8,2.48,29.81%,14.21,7.95,32694186,2535674,4/15/2021
KSPN,Kaspien Holdings Inc,26.91,4.38,19.44%,26.91,22.76,60752,35848,4/15/2021
PLBY,Plby Group Inc,42.58,5.82,15.83%,44.25,36.86,10467955,3008508,4/15/2021
EEIQ,Elite Education Group International Ltd,6.6,0.82,14.19%,7.62,5.55,4951997,N/A,4/15/2021
BTN,Ballantyne Strong Inc,4.61,0.56,13.83%,4.7,4.14,3960698,1377305,4/15/2021
ETON,Eton Pharmaceutcials Inc,8.56,0.99,13.08%,8.6,7.57,713117,201121,4/15/2021
WRI,Weingarten Realty Investors,30.77,3.43,12.55%,30.85,29.27,9741721,1434151,4/15/2021
KINS,Kingstone Cos Inc,8.61,0.89,11.53%,8.98,8,62835,26057,4/15/2021
BCRX,Biocryst Pharma Inc,11.34,1.15,11.29%,11.58,10.13,8531870,5907338,4/15/2021
WAFU,Wah Fu Education Group Ltd,9.3,0.91,10.85%,11.21,8.35,5579180,9012004,4/15/2021
ARDX,Ardelyx Inc,8.66,0.82,10.46%,9.23,7.86,20023623,2771581,4/15/2021
KDNY,Chinook Therapeutics Inc,15.24,1.44,10.43%,15.43,13.82,215839,157012,4/15/2021
TLIS,Talis Biomedical Corp,14.56,1.32,9.97%,15.28,13.03,197798,276380,4/15/2021
KLDO,Kaleido Biosciences Inc,7.55,0.68,9.90%,8.4,6.92,2594445,435697,4/15/2021
SLGL,Sol-Gel Technologies Ltd,14.7,1.3,9.70%,15.23,13.41,142720,52286,4/15/2021
SEEL,Seelos Therapeutics Inc,5.28,0.46,9.54%,5.45,4.86,5084486,6370119,4/15/2021
GSS,Golden Star Resources Ltd,3.39,0.29,9.35%,3.49,3.16,1499674,703224,4/15/2021
RXDX,Prometheus Biosciences Inc,24.55,2.07,9.21%,24.56,22.55,132193,161585,4/15/2021
CTRN,Citi Trends Inc,100.75,8.21,8.87%,104.15,95.29,427362,223483,4/15/2021
