Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
MFNC,Mackinac Financial,21.16,7.99,60.67%,21.95,18.93,15225200,800990,4/13/2021
NVCR,Novocure Ltd Ord Sh,197.33,65.45,49.63%,218.09,179.88,16632801,1423005,4/13/2021
VTVT,Vtv Theraptcs Cl A,3.44,0.87,33.85%,3.79,2.77,255838594,13610845,4/13/2021
CGA,China Green Agriculture,10.09,2.19,27.72%,11.17,7.7,930300,214775,4/13/2021
BTN,Ballantyne Strong Inc,4.04,0.8,24.69%,4.19,3.24,16022400,1080830,4/13/2021
PLBY,Plby Group Inc,38.11,7.13,23.01%,39.88,30.56,8053400,2244485,4/13/2021
ZLAB,Zai Lab Ltd,161.29,29.24,22.14%,161.64,145.92,1578100,532210,4/13/2021
DMRC,Digimarc Corp,35.27,6.34,21.91%,37.33,31.75,1328400,188495,4/13/2021
CBLI,Cleveland Biolabs,6.95,1.15,19.83%,7.17,5.57,1102200,201130,4/13/2021
INTZ,Intrusion Inc,28.25,4.55,19.20%,28.77,24.5,1316700,358375,4/13/2021
MSTR,Microstrategy Cl A,848.54,130.3,18.14%,869.99,734.79,1701000,616415,4/13/2021
MKTY,Mechanical Technolgy,11.89,1.74,17.14%,12.77,10.55,350500,115340,4/13/2021
RIGL,Rigel Pharmaceuticals,3.61,0.52,16.83%,3.68,3.28,18356400,3212980,4/13/2021
NTP,Nam Tai Electronics,13.9,2,16.81%,14.78,11.9,946900,167700,4/13/2021
VLON,Vallon Pharmaceuticals Inc,5.12,0.68,15.32%,5.15,4.6,251400,75325,4/13/2021
RIOT,Riot Blockchain Inc,59.26,7.73,15.00%,59.96,52.86,42733398,20344750,4/13/2021
GOVX,Geovax Labs,5.82,0.75,14.79%,5.9,4.91,2216100,1714550,4/13/2021
INVE,Identiv Inc,13.35,1.63,13.91%,13.58,12.07,399100,228735,4/13/2021
RILY,B. Riley Financl,69.3,8.33,13.66%,70.34,66.76,2865400,365445,4/13/2021
IHRT,Iheartmedia Inc,19.79,2.31,13.22%,20.09,17.94,5491300,1662650,4/13/2021
RXDX,Prometheus Biosciences Inc,21.28,2.48,13.19%,22.53,18.81,211600,174890,4/13/2021
FLXN,Flexion Therapeutics,9.4,1.09,13.12%,9.59,8.3,2025300,1291160,4/13/2021
ZNTL,Zentalis Pharmaceuticals Inc,45.66,5.24,12.96%,45.93,40.32,620100,330790,4/13/2021
NUVB,Nuvation Bio Inc,10.69,1.2,12.64%,10.81,9.4,440700,1492990,4/13/2021
INBX,Inhibrx Inc,22.27,2.42,12.19%,22.88,19.91,146600,112490,4/13/2021
ANGI,Angi Inc,17.02,1.83,12.01%,17.53,15.6,4852000,1908545,4/13/2021
CRTX,Cortexyme Inc,35.68,3.8,11.92%,35.82,31.88,268900,304105,4/13/2021
SUPN,Supernus Pharm,31.29,3.32,11.87%,31.42,29.26,1521200,679605,4/13/2021
NEXI,Neximmune Inc,20.95,2.21,11.79%,21.06,18.18,65900,122130,4/13/2021
TARA,Artara Therapeutics Inc,16.6,1.7,11.41%,16.74,15.01,166600,100330,4/13/2021
NET,Cloudflare Inc Cl A,77.61,7.88,11.30%,79.81,69.84,13148100,3727655,4/13/2021
CAN,Canaan Inc ADR,14.61,1.47,11.19%,15.87,13.76,41740402,21075285,4/13/2021
NCTY,The9 Ltd,25.38,2.52,11.02%,25.79,23.52,2265500,3012465,4/13/2021
NVAX,Novavax Inc,194.66,19.01,10.82%,201.01,182.56,6062400,2758480,4/13/2021
CSSE,Chicken Soup For The Soul Entertainment Inc,36.57,3.57,10.82%,36.81,32.53,98900,65900,4/13/2021
LGHL,Lion Group Holding Ltd ADR,3.33,0.32,10.63%,3.36,2.96,4245800,8510229,4/13/2021
VERX,Vertex Inc Cl A,22.13,2.06,10.26%,22.55,20.22,544800,342210,4/13/2021
AXLA,Axcella Health Inc,4.66,0.43,10.17%,4.79,4.22,128900,82370,4/13/2021
AGC,Altimeter Growth Corp Cl A,15.33,1.38,9.89%,15.98,12.8,29212600,2239210,4/13/2021
MACK,Merrimack Pharmaceuticals Inc,6.72,0.6,9.80%,6.72,6.04,64100,47015,4/13/2021
XELB,XCEL Brands,2.25,0.2,9.76%,2.39,2,515200,6946045,4/13/2021
NURO,Neurometrix Inc,3.72,0.33,9.73%,3.72,3.37,85600,41815,4/13/2021
MNSO,Miniso Group Holding Ltd ADR,27.36,2.41,9.66%,28.17,25.34,539600,922410,4/13/2021
TRMT,Tremont Mortgage Trust,6.36,0.55,9.47%,6.4,5.8,123900,32725,4/13/2021
RBLX,Roblox Corporation Cl A,82.05,7.05,9.40%,83.41,73.51,17884699,7700415,4/13/2021
WIMI,Wimi Hologram Cloud Inc ADR,6.24,0.53,9.28%,6.57,5.86,12218300,5990320,4/13/2021
TWST,Twist Bioscience Corp,140.81,11.8,9.15%,143.04,131.97,677700,1080510,4/13/2021
KROS,Keros Therapeutics Inc,64.05,5.36,9.13%,64.39,58.66,145300,145800,4/13/2021
HLIT,Harmonic Inc,8.81,0.73,9.03%,8.84,8.04,3297700,736260,4/13/2021
PLTR,Palantir Technologies Inc Cl A,25.42,2.08,8.91%,25.66,23.12,83796195,58485363,4/13/2021
WPG,Washington Prime Group Inc,2.25,0.18,8.70%,2.37,2.04,2162000,1734415,4/13/2021
BEAM,Beam Therapeutics Inc,74.8,5.98,8.69%,74.96,69.19,1097300,1015030,4/13/2021
TSLA,Tesla Inc,762.32,60.34,8.60%,763,710.66,44620402,33897676,4/13/2021
BCYC,Bicycle Therapeutics Plc ADR,29.31,2.31,8.56%,29.35,27,174700,215430,4/13/2021
CODX,Co-Diagnostics Inc,9.54,0.75,8.53%,9.69,8.86,1398100,1274330,4/13/2021
PACB,Pacific Biosciences,33.33,2.59,8.43%,33.77,30.79,3462800,3361535,4/13/2021
CLVR,Clever Leaves Holdings Inc,11.89,0.92,8.39%,11.92,11,264600,619235,4/13/2021
PFMT,Performant Financial,2.33,0.18,8.37%,2.33,2.05,1816900,9034820,4/13/2021
