Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
WHLM,Wilhelmina Intl,6.96,1.71,32.51%,10.45,6.54,16754234,845947,4/12/2021
CELC,Celcuity Inc,27.94,6.34,29.35%,27.94,20.82,4897461,1083728,4/12/2021
LHDX,Lucira Health Inc,10.91,2.32,27.01%,12.14,8.51,10263252,934588,4/12/2021
BTX,Brooklyn Immunotherapeutics Inc,7.91,1.48,23.02%,8.2,5.53,2270501,N/A,4/12/2021
ATNF,180 Life Sciences Corp,11.98,2.24,23.00%,13.05,10.02,43617152,6039943,4/12/2021
PLBY,Plby Group Inc,30.98,5.14,19.89%,32.57,27.15,5869794,1853330,4/12/2021
TSHA,Taysha Gene Therapies Inc,25,3.81,17.98%,27,22,628244,128252,4/12/2021
TLSA,Tiziana Life Sciences Plc ADR,3.15,0.48,17.98%,3.25,2.55,5152973,483869,4/12/2021
EVLO,Evelo Biosciences Inc,11.82,1.78,17.73%,12.94,10.94,1991414,275381,4/12/2021
GBOX,Greenbox Pos,19.22,2.87,17.55%,19.36,16.36,2614853,966833,4/12/2021
DGLY,Digital Ally Inc,2.03,0.3,17.34%,2.045,1.69,19531381,4358589,4/12/2021
BTN,Ballantyne Strong Inc,3.24,0.45,16.13%,3.37,2.84,2604802,282440,4/12/2021
NUAN,Nuance Communicatns,52.85,7.27,15.95%,53.93,52.74,107991773,8424134,4/12/2021
MUDS,Mudrick Capital Acquisition Corporation II Cl A,12.49,1.64,15.12%,12.8,11.05,17948307,3710515,4/12/2021
VS,Versus Systems Inc,7.87,0.97,14.06%,8.12,6.68,367267,74703,4/12/2021
MKTY,Mechanical Technolgy,10.15,1.12,12.40%,10.27,9.05,98916,99311,4/12/2021
LMNX,Luminex Corp,37.03,4.08,12.38%,37.28,36.56,19249195,1376900,4/12/2021
MOSY,Mosys Inc,4.12,0.4,10.75%,5.09,3.62,13286060,1077538,4/12/2021
HPK,Highpeak Energy Inc,7.91,0.71,9.86%,7.92,7.2,168398,323130,4/12/2021
TH,Target Hospitality Corp,3.42,0.3,9.44%,3.69,3.1,2908211,2749196,4/12/2021
BABA,Alibaba Group Holding,244.01,20.7,9.27%,244.91,236.65,57382281,19119754,4/12/2021
STTK,Shattuck Labs Inc,30.75,2.52,8.93%,31.18,27.42,171959,164793,4/12/2021
STXS,Stereotaxis Inc,8.33,0.68,8.89%,8.57,7.6,965273,280519,4/12/2021
CBD,Companhia Brasileira DE Distribuicao,6.41,0.52,8.83%,6.48,6.03,3224831,2853497,4/12/2021
AKER,Akers Biosciences,3.49,0.28,8.72%,3.6,3.22,380175,242469,4/12/2021
AOUT,American Outdoor Brands Inc,28.86,2.29,8.62%,28.94,26.5,377712,256386,4/12/2021
NVGS,Navigator Holdings,9.86,0.76,8.35%,9.91,9.12,326982,115949,4/12/2021
ZNTL,Zentalis Pharmaceuticals Inc,40.42,3.01,8.05%,42.95,39,793980,311234,4/12/2021
USIO,Usio Inc,7.13,0.53,8.03%,7.33,6.81,612998,221045,4/12/2021
EKSO,Ekso Bionics Holdings Inc,7.04,0.52,7.98%,7.17,6.31,1908663,469773,4/12/2021
FGF,Fg Financial Group Inc,5.85,0.43,7.93%,5.9,5.4,135730,39137,4/12/2021
SIG,Signet Jewelers Ltd,65.92,4.84,7.92%,68.29,63.01,3189365,1034758,4/12/2021
SMIT,Schmitt Inds Inc,7.75,0.57,7.86%,8.38,7.19,177182,33519,4/12/2021
YMTX,Yumanity Therapeutics Inc,19.33,1.4,7.81%,19.74,17.86,67335,49367,4/12/2021
GOVX,Geovax Labs,5.07,0.36,7.64%,5.18,4.4,2348862,1617473,4/12/2021
RCON,Recon Technology Ltd,6.95,0.49,7.59%,7.41,6.5,1138780,2495674,4/12/2021
NAII,Natural Alternativ,17.5,1.23,7.56%,17.86,16.22,97654,24183,4/12/2021
LMNL,Liminal Biosciences Inc,4.42,0.31,7.54%,4.58,4.01,518426,174961,4/12/2021
ACY,Aerocentury Corp,10.84,0.75,7.43%,14,9.06,7914249,12386717,4/12/2021
IKNA,Ikena Oncology Inc,17.2,1.15,7.17%,26.99,14.16,2968185,N/A,4/12/2021
FGEN,Fibrogen Inc CS,19.89,1.32,7.11%,20.25,18.41,3784050,2572927,4/12/2021
CMPS,Compass Pathways Plc ADR,38.19,2.39,6.68%,38.19,35.78,396818,364221,4/12/2021
YETI,Yeti Holdings Inc,84.28,5.28,6.68%,84.96,78.61,3705475,1317209,4/12/2021
MOV,Movado Group Inc,30.51,1.91,6.68%,30.79,28.6,207721,214076,4/12/2021
CELH,Celsius Holdings Inc,57.09,3.55,6.63%,57.45,51.81,961645,1137017,4/12/2021
MFH,Mercurity Fintech Holding Inc,7.67,0.47,6.53%,7.79,7.2,388914,1054581,4/12/2021
NMM,Navios Maritime Partners LP,27.99,1.65,6.26%,28.33,25.2,943779,593524,4/12/2021
MTW,Manitowoc Company,21.93,1.29,6.25%,21.97,20.62,327143,502052,4/12/2021
BAK,Braskem S.A.,16.27,0.93,6.06%,16.42,15.46,283352,292523,4/12/2021
CNET,Chinanet Online Hld,2.63,0.15,6.05%,2.66,2.37,2959301,2183875,4/12/2021
FOSL,Fossil Group,13.78,0.78,6.00%,13.86,13.06,676077,844804,4/12/2021
NVDA,Nvidia Corp,608.36,32.36,5.62%,614.1,565.57,21702697,7324805,4/12/2021
HMHC,Houghton Mifflin Har,7.65,0.4,5.52%,7.93,7.27,1339191,1836660,4/12/2021
RPTX,Repare Therapeutics Inc,32.46,1.68,5.46%,32.88,30.07,145302,140995,4/12/2021
ONDS,Ondas Holdings Inc,8.72,0.45,5.44%,8.81,8.09,307515,412606,4/12/2021
NKTX,Nkarta Inc,34.01,1.73,5.36%,34.57,31.02,253094,298670,4/12/2021
SMED,Sharps Compliance,14.15,0.72,5.36%,14.34,13.4,93521,102741,4/12/2021
DKL,Delek Logistics Partners LP,39.75,2.02,5.35%,39.9,37.76,119986,42249,4/12/2021
KELYB,Kelly Services Inc Cl B,29.95,1.49,5.24%,32.1,28.51,63757,69303,4/12/2021
DASH,Doordash Inc Cl A,147.83,7.33,5.22%,149.01,136.28,5727198,2621150,4/12/2021
VIH,Vpc Impact Acquisition Holdings Cl A,14.99,0.74,5.19%,15.43,14.48,994404,549715,4/12/2021
ZDGE,Zedge Inc Cl B,14.18,0.69,5.11%,15.29,13.64,740576,733924,4/12/2021
EVAX,Evaxion Biotech A/S ADR,6.4,0.31,5.09%,6.44,6.11,149520,110156,4/12/2021
POWW,Ammo Inc,7.68,0.37,5.06%,7.8,7.22,3114932,3457732,4/12/2021
MCFE,Mcafee Corp Cl A,25.38,1.22,5.05%,25.83,24.2,2764536,1274717,4/12/2021
IIVI,I I V I Inc,80,3.79,4.97%,82.22,77.6,4142089,2814030,4/12/2021
LAZY,Lazydays Holdings Inc,20.65,0.97,4.93%,20.75,19.21,225483,167454,4/12/2021
GCO,Genesco Inc,51.06,2.39,4.91%,51.21,48.5,180198,126340,4/12/2021
CLSD,Clearside Biomedi,2.79,0.13,4.89%,2.84,2.55,411260,311248,4/12/2021
NTZ,Natuzzi S.P.A.,17.2,0.8,4.88%,18.25,16,121019,38001,4/12/2021
CAL,Caleres Inc,22.39,1.04,4.87%,22.76,21.3,673135,709572,4/12/2021
KTB,Kontoor Brands Inc [Ktb/I],59.72,2.77,4.86%,59.9,56.57,975285,512449,4/12/2021
CVAC,Curevac N.V.,92.15,4.23,4.81%,93,90.02,996770,769168,4/12/2021
AVYA,Avaya Holdings Corp,30.38,1.38,4.76%,30.86,28.79,1044225,784411,4/12/2021
GWAC,Good Works Acquisition Corp,10.83,0.49,4.74%,10.9,10.47,304372,520359,4/12/2021
AHC,A.H. Belo Corp,2.21,0.1,4.74%,2.22,2.11,82112,120756,4/12/2021
GURE,Gulf Resources Inc,5.33,0.24,4.72%,5.4,4.54,465153,372328,4/12/2021
ASO,Academy Sports and Outdoors Inc,32.29,1.45,4.70%,32.6,30.04,3398136,2850492,4/12/2021
AKUS,Akouos Inc,14.51,0.64,4.61%,15.06,13.38,130901,259465,4/12/2021
BOWX,Bowx Acquisition Corp Cl A,13.58,0.59,4.54%,13.67,12.69,1353474,3446404,4/12/2021
ULBI,Ultralife Corp,8.6,0.37,4.50%,8.68,8.13,79424,105121,4/12/2021
SFM,Sprouts Farmers Mark,27.27,1.17,4.48%,27.52,26.63,2734207,2912725,4/12/2021
CRTO,Criteo S.A. Ads,37.54,1.6,4.45%,38.24,35.69,1036813,830236,4/12/2021
LCI,Lannett Co. Inc,5.17,0.22,4.44%,5.23,4.72,785464,452693,4/12/2021
CWH,Camping World Holdings Inc,39.97,1.7,4.44%,40.27,38.35,1188821,1155056,4/12/2021
BPT,BP Prudhoe Bay Royalty Trust,3.54,0.15,4.42%,3.57,3.38,179754,257798,4/12/2021
RBLX,Roblox Corporation Cl A,75,3.17,4.41%,77,71.51,7989274,7785789,4/12/2021
JWEL,Jowell Global Ltd,8.31,0.35,4.40%,8.31,7.62,126593,N/A,4/12/2021
IZEA,Izea Inc,5.33,0.22,4.31%,5.44,4.42,10735181,3757989,4/12/2021
SEMR,Semrush Holdings Inc Cl A,13.56,0.56,4.31%,13.71,13,364879,N/A,4/12/2021
CZNC,Citizens Nrthn Cp,24.36,1,4.28%,24.44,23.5,53229,37956,4/12/2021
QUMU,Qumu Corp,6.15,0.25,4.24%,6.15,5.89,88380,65349,4/12/2021
