Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
CADE,Cadence Bancorp Cl A,22.39,0.91,4.24%,23.3,21.97,4172291,1146160,4/12/2021
FIZZ,Natl Beverage Cp,49.93,2.02,4.22%,50.57,47.42,764319,709606,4/12/2021
COGT,Cogent Biosciences Inc,8.64,0.35,4.22%,8.65,8,628865,332763,4/12/2021
DRVN,Driven Brands Holdings Inc,26.51,1.07,4.21%,26.53,25.07,456698,874015,4/12/2021
CC,Chemours Company,29.02,1.17,4.20%,29.02,27.95,1428295,1608930,4/12/2021
NNBR,NN Inc,7.44,0.3,4.20%,7.63,7.18,323383,335724,4/12/2021
RCKY,Rocky Brands Inc,58.46,2.34,4.17%,58.83,56.23,75817,89691,4/12/2021
CRNC,Cerence Inc,96.51,3.81,4.11%,99.14,92.12,752632,495932,4/12/2021
TUP,Tupperware Corp,28.13,1.11,4.11%,28.17,26.8,760300,871690,4/12/2021
SMPL,The Simply Good Foods Company,32.61,1.28,4.09%,32.91,31.31,756764,790903,4/12/2021
SC,Santander Consumer USA Holdings,30.2,1.18,4.07%,30.22,29.24,748892,1125125,4/12/2021
AVCT,American Virtual Cloud Tech Inc,7.94,0.31,4.06%,7.99,7.25,139948,283032,4/12/2021
XTNT,Xtant Medical Holdings Inc,2.32,0.09,4.04%,3.25,2.11,16203435,995977,4/12/2021
SWBI,Smith & Wesson Brands Inc,18.91,0.73,4.02%,18.95,18.04,1184950,1879188,4/12/2021
REV,Revlon Inc,11.53,0.44,3.97%,11.54,10.62,344384,227679,4/12/2021
CAMT,Camtek Ltd,34.03,1.3,3.97%,34.73,31.43,873061,246903,4/12/2021
MED,Medifast Inc,230.01,8.78,3.97%,231.98,222.19,99697,133145,4/12/2021
RCKT,Rocket Pharmaceuticals Inc,40.97,1.56,3.96%,42,38.46,568449,619002,4/12/2021
AVTR,Avantor Inc,32.97,1.24,3.91%,33.28,31.62,7158083,3673679,4/12/2021
CUBI,Customers Bancorp,33.42,1.25,3.89%,33.87,32.6,253857,244853,4/12/2021
CERE,Cerevel Therapeutics Hldg Inc,13.57,0.5,3.83%,13.8,12.53,147710,262201,4/12/2021
RIOT,Riot Blockchain Inc,51.53,1.9,3.83%,55.79,50.62,23723281,19329713,4/12/2021
SNCY,Sun Country Airlines Holdings Inc,39.67,1.46,3.82%,40.55,36.93,324720,N/A,4/12/2021
CMBM,Cambium Networks Corp,64.92,2.39,3.82%,65.44,60.33,467936,375132,4/12/2021
MSB,Mesabi Trust,32.72,1.2,3.81%,32.88,31.51,75427,63126,4/12/2021
LAND,Gladstone Land Corp,19.64,0.72,3.81%,19.91,18.98,1259779,288699,4/12/2021
FND,Floor & Decor Holdings Inc,112.83,4.14,3.81%,113.34,107.71,1638799,770065,4/12/2021
AGFS,Agrofresh Solutions,2.23,0.08,3.72%,2.59,2.11,334383,125499,4/12/2021
GRNQ,Greenpro Capital Corp,2.8,0.1,3.70%,2.88,2.68,2331927,4386876,4/12/2021
CAG,Conagra Brands Inc,37.53,1.34,3.70%,37.57,36.28,5388909,3754800,4/12/2021
TSLA,Tesla Inc,701.98,24.96,3.69%,704.8,682.09,29092275,33135660,4/12/2021
THTX,Theratechnologies Inc,3.96,0.14,3.66%,3.96,3.72,278880,301629,4/12/2021
FTV,Fortive Corp,73.56,2.6,3.66%,73.65,70.95,2052777,2196219,4/12/2021
HZO,Marinemax Inc,51.02,1.8,3.66%,51.38,49.54,528237,585512,4/12/2021
MCFT,Mcbc Holdings,28.06,0.99,3.66%,28.13,26.88,82273,130739,4/12/2021
BLU,Bellus Health Inc,4.54,0.16,3.65%,4.56,4.3,1823171,666004,4/12/2021
ATXI,Avenue Therapeutics Inc,7.11,0.25,3.64%,7.54,5.92,2958939,460527,4/12/2021
FROG,Jfrog Ltd,51.22,1.79,3.62%,51.48,47.88,1140441,968372,4/12/2021
CRTD,Creatd Inc,4.41,0.15,3.52%,4.43,4.2,100340,1303802,4/12/2021
CAI,Cai International,45.35,1.54,3.52%,45.94,44.03,102145,158187,4/12/2021
CXP,Columbia Property Trust Inc,18.32,0.62,3.50%,18.32,17.72,1421839,1114587,4/12/2021
BLD,Topbuild Corp,226.9,7.63,3.48%,227.13,217.16,344800,283610,4/12/2021
PBLA,Panbela Therapeutics Inc,4.46,0.15,3.48%,4.63,4.22,71977,32679,4/12/2021
GEF,Greif Bros. Corp,60.34,2.02,3.46%,60.41,58.62,144401,190290,4/12/2021
UNM,Unumprovident Corp,28.58,0.95,3.44%,28.68,27.85,2917402,2660515,4/12/2021
OI,Owens-Illinois,15.18,0.5,3.41%,15.23,14.52,1457156,3586808,4/12/2021
UIS,Unisys Corp,24.95,0.82,3.40%,25.12,23.9,390548,446542,4/12/2021
CATO,Cato Corp,14.06,0.46,3.38%,14.08,13.4,139771,220324,4/12/2021
TRTN,Triton International Ltd,56.67,1.85,3.37%,56.75,54.94,356339,526272,4/12/2021
ANIX,Anixa Biosciences Inc,4.65,0.15,3.33%,4.73,4.34,466932,848487,4/12/2021
QDEL,Quidel Cp,127.3,4.1,3.33%,128.35,122.34,582038,754412,4/12/2021
WGO,Winnebago Industries,77.66,2.49,3.31%,78.55,74.2,717025,796261,4/12/2021
VNOM,Viper Energy LP,15.59,0.5,3.31%,15.77,15.28,478528,676701,4/12/2021
VRS,Verso Corp,15.72,0.5,3.29%,15.79,15.17,208411,207481,4/12/2021
PRTK,Paratek Pharma Inc,8.22,0.26,3.27%,8.39,7.95,1077544,543777,4/12/2021
UNFI,United Nat Foods,36.44,1.14,3.23%,36.7,35.18,929865,1058443,4/12/2021
OLN,Olin Corp,41.03,1.28,3.22%,41.06,39.9,1669558,1880618,4/12/2021
TREX,Trex Company,101.07,3.12,3.19%,101.86,98.27,681406,732680,4/12/2021
GES,Guess Inc,28.18,0.87,3.19%,28.27,27.18,931796,823180,4/12/2021
DAN,Dana Inc,26.65,0.82,3.17%,26.66,25.7,1251398,1300095,4/12/2021
STN,Stantec Inc,45.65,1.4,3.16%,45.75,44.47,130199,61440,4/12/2021
INGN,Inogen Inc,55.72,1.69,3.13%,55.98,53.13,122722,143866,4/12/2021
JOAN,Joann Inc,12.24,0.37,3.12%,12.31,11.55,600653,N/A,4/12/2021
UPLD,Upland Software Inc,47.66,1.44,3.12%,47.91,45.35,301114,202286,4/12/2021
LEVI,Levi Strauss & Co. Cl A,26.47,0.8,3.12%,26.52,25.62,2673939,1788377,4/12/2021
PBYI,Puma Biotechnology,9.62,0.29,3.11%,9.75,9.02,370983,310604,4/12/2021
JYNT,The Joint Corp,53,1.6,3.11%,53.15,49.82,238304,150475,4/12/2021
SYTA,Siyata Mobile Inc,11.65,0.35,3.10%,12.48,11.29,67272,40274,4/12/2021
VSTO,Vista Outdoor Inc,32.63,0.97,3.06%,32.75,31.3,763642,1157127,4/12/2021
UBER,Uber Technologies Inc,59.44,1.76,3.05%,60.77,58.75,36023105,15202870,4/12/2021
OPRX,Optimizerx Corp,50.85,1.5,3.04%,51.7,49.02,289171,281224,4/12/2021
ARD,Ardagh Group S.A.,26.85,0.79,3.03%,27.07,25.99,217482,111704,4/12/2021
RDY,Dr. Reddy's Laboratories Ltd,65.85,1.93,3.02%,67.47,65.72,193263,188343,16:03 ET
SEER,Seer Inc Cl A,53.55,1.56,3.00%,54.41,50,502055,686838,4/12/2021
SSB,South State Cp,82.25,2.39,2.99%,82.45,80.36,430011,348401,4/12/2021
ETRN,Equitrans Midstream Corp,7.91,0.23,2.99%,7.91,7.76,2913408,4067646,4/12/2021
LYG,Lloyds Banking Group Plc,2.41,0.07,2.99%,2.42,2.38,3570622,5077866,4/12/2021
SWKH,Swk Holdings Corp,16.89,0.49,2.99%,17.44,16.4,52094,16865,4/12/2021
CRI,Carter's Inc,96.06,2.77,2.97%,96.5,93.38,642712,644486,4/12/2021
WNEB,Western New England Bancorp Inc,8.33,0.24,2.97%,8.4,8.01,82751,153793,4/12/2021
ANF,Abercrombie & Fitch Company,39.85,1.15,2.97%,39.85,38.58,1577762,1548173,4/12/2021
JELD,Jeld-Wen Holding Inc,29.52,0.85,2.96%,29.58,28.59,741586,476354,4/12/2021
UTZ,Utz Brands Inc,25.99,0.74,2.93%,26.09,24.75,503796,609300,4/12/2021
BC,Brunswick Corp,102.32,2.9,2.92%,102.47,99.51,741847,684432,4/12/2021
IMO,Imperial Oil Ltd,25.44,0.72,2.91%,25.64,24.73,731272,746524,4/12/2021
KREF,KKR Real Estate Finance Trust Inc,19.55,0.55,2.89%,19.56,19.01,497179,335494,4/12/2021
GRCL,Gracell Biotechnologies Inc ADR,13.89,0.39,2.89%,14.37,13.23,53509,116995,4/12/2021
TGLS,Tecnoglass Inc,13.52,0.38,2.89%,14.6,13.41,460927,294546,4/12/2021
IDT,IDT Corp,23.14,0.65,2.89%,23.24,22.1,103091,117220,4/12/2021
PRVB,Provention Bio Inc,8.23,0.23,2.87%,8.55,7.65,3267959,2034558,4/12/2021
SNOW,Snowflake Inc Cl A,233.39,6.5,2.86%,234.16,223.79,2374365,4250718,4/12/2021
NR,Newpark Resources,3.24,0.09,2.86%,3.26,3.13,316208,840575,4/12/2021
ALRM,Alarm.com,91.3,2.52,2.84%,91.64,87.44,265204,330935,4/12/2021
TAIT,Taitron Components,4.56,0.13,2.83%,4.7,4.31,204203,56110,4/12/2021
GEO,Geo Group Inc,5.83,0.16,2.82%,5.86,5.65,4447057,5477353,4/12/2021
WRK,Westrock Company,54.29,1.49,2.82%,54.33,52.98,2082800,2103590,4/12/2021
JIH,Juniper Industrial Holdings Inc Cl A,13.63,0.37,2.79%,13.77,13.15,276758,552048,4/12/2021
VRA,Vera Bradley,11.48,0.31,2.78%,11.55,11.03,252096,314825,4/12/2021
RDWR,Radware Ltd,27.45,0.74,2.77%,27.62,26.58,466596,279490,4/12/2021
CTRN,Citi Trends Inc,96,2.57,2.75%,96.1,92.26,158826,226986,4/12/2021
TROX,Tronox Inc,19.82,0.53,2.75%,19.88,19.24,861924,1495001,4/12/2021
CHEF,The Chefs Warehouse,32.84,0.88,2.75%,33.11,31.56,292791,375320,4/12/2021
WCC,Wesco International,89.77,2.36,2.70%,90.08,87.64,273185,368284,4/12/2021
DXC,Dxc Technology Company,32.29,0.85,2.70%,32.29,31.38,2509285,2407839,4/12/2021
RGR,Sturm Ruger & Company,70.36,1.85,2.70%,70.64,68.22,218054,286843,4/12/2021
MKGI,Monaker Group Inc,3.05,0.08,2.69%,3.14,2.98,364531,1983912,4/12/2021
LUNA,Luna Innovations Inc,11.07,0.29,2.69%,11.14,10.62,147400,200515,4/12/2021
CLGN,Collplant Biotechnologies Ltd,14.17,0.37,2.68%,14.18,13.14,56656,52423,16:00 ET
Downloaded from Barchart.com as of 04-12-2021 05:34pm CDT,,,,,,,,,
