Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
IHT,Innsuites Hospitality Trust,2.67,0.15,5.95%,2.74,2.43,249600,60195,4/6/2021
TME,Tencent Music Entertainment ADR,20.16,1.13,5.94%,20.57,19.37,52670100,69767391,4/6/2021
OXSQ,Oxford Square Capital Corp,5,0.28,5.93%,5.04,4.74,618700,351800,4/6/2021
DRIO,Dario Health Corp,19.13,1.07,5.92%,20.2,17.85,441400,364875,4/6/2021
CSPR,Casper Sleep Inc,7.7,0.43,5.91%,7.85,7.27,442800,454705,4/6/2021
MAG,MAG Silver Corp,16.79,0.93,5.86%,17,16.1,841100,856310,4/6/2021
VIPS,Vipshop Holdings Ltd,31.5,1.72,5.78%,32.21,29.28,24851500,26730115,4/6/2021
PTON,Peloton Interactive Inc,115.38,6.29,5.77%,117.45,108.28,7403200,7710090,4/6/2021
OPRA,Opera Ltd ADR,10.85,0.59,5.75%,10.96,9.98,289800,191620,4/6/2021
ESTA,Establishment Labs Holdings Inc,71.31,3.86,5.72%,73.51,66.15,198600,117310,4/6/2021
CNEY,Cn Energy Group Inc,4.81,0.26,5.71%,4.94,4.55,107900,60320,4/6/2021
ORPH,Orphazyme A/S ADR,9.1,0.49,5.69%,9.1,8.62,87900,144810,4/6/2021
ENPH,Enphase Energy Inc,157.92,8.5,5.69%,161.17,151.01,2647100,3362620,4/6/2021
EAST,Eastside Distilling Inc,2.05,0.11,5.67%,2.07,1.94,120800,125995,4/6/2021
FSM,Fortuna Silver Mines,7.1,0.38,5.65%,7.21,6.76,3192100,2816995,4/6/2021
STAA,Staar Surgical Company,112.59,6.01,5.64%,113.52,106.4,501200,619820,4/6/2021
ELYS,Elys Game Tech Corp,5.82,0.31,5.63%,5.94,5.49,549100,726285,4/6/2021
NSTG,Nanostring Tech,71.85,3.82,5.62%,73.4,67.65,330200,654240,4/6/2021
PLMR,Palomar Holdings Inc,72.34,3.83,5.59%,72.96,67.75,349900,331480,4/6/2021
SY,So-Young International Inc ADR,10.07,0.53,5.56%,10.13,9.39,606900,1232990,4/6/2021
ONCR,Oncorus Inc,15.03,0.79,5.55%,15.18,14.09,330200,198175,4/6/2021
YPF,Ypf Sociedad Anonima,4.38,0.23,5.54%,4.39,4.1,1301900,1233540,4/6/2021
PARR,Par Petroleum Corp,15.62,0.82,5.54%,16.58,15.37,608500,897415,4/6/2021
FROG,Jfrog Ltd,46.88,2.46,5.54%,47.2,44.44,1030900,1067055,4/6/2021
API,Agora Inc Ads,54.3,2.85,5.54%,55.7,50.6,619200,1076110,4/6/2021
QUIK,Quicklogic Corp,7.86,0.41,5.50%,8.12,7.41,119700,151230,4/6/2021
CLPS,Clps Incorp,5.38,0.28,5.49%,5.45,5.01,295400,2490960,4/6/2021
AGRO,Adecoagro S.A.,8.17,0.42,5.42%,8.24,7.78,513000,576470,4/6/2021
NEW,Puxin Ltd,4.09,0.21,5.41%,4.2,3.81,296100,503380,4/6/2021
RIDE,Lordstown Motors Corp,12.19,0.63,5.40%,12.55,11.32,7121900,12074855,4/6/2021
APWC,Asia Pacific Wire & Cable,4.14,0.21,5.34%,4.26,3.9,104800,92190,4/6/2021
FUV,Arcimoto Inc,14.06,0.71,5.32%,14.33,12.85,1397000,1768275,4/6/2021
QADA,Qad Inc,75.89,3.81,5.29%,78.69,71.42,96300,50800,4/6/2021
APR,Apria Inc,31.48,1.58,5.28%,32.75,29.22,495600,292905,4/6/2021
NCNO,Ncino Inc,72.36,3.62,5.27%,72.48,67.92,883300,1179080,4/6/2021
FNCH,Finch Therapeutics Group Inc,16.65,0.83,5.25%,16.96,15.59,104100,N/A,4/6/2021
BRN,Barnwell Industries,2.81,0.14,5.24%,2.91,2.65,299100,210735,4/6/2021
LSPD,Lightspeed Pos Inc,67.97,3.38,5.23%,69.17,64.21,527800,851735,4/6/2021
NAT,Nordic American Tanker Shipping Ltd,3.42,0.17,5.23%,3.52,3.23,5063800,4760665,4/6/2021
SEMR,Semrush Hldgs Inc,12.5,0.62,5.22%,12.9,12.06,391700,N/A,4/6/2021
ONE,Onesmart International Education Group Ltd A,2.42,0.12,5.22%,2.42,2.26,146300,434375,4/6/2021
VMAR,Vision Marine Technologies Inc,8.08,0.4,5.21%,8.15,7.56,100900,76610,4/6/2021
AFRM,Affirm Holdings Inc Cl A,73,3.61,5.20%,73.5,69.7,1909000,2117180,4/6/2021
THCB,Tuscan Holdings Corp,12.97,0.64,5.19%,13.11,12.12,1025800,1379480,4/6/2021
SOL,Renesola Ltd,11.35,0.56,5.19%,12.24,10.74,2980700,3794245,4/6/2021
JVA,Coffee Holding Company,5.28,0.26,5.18%,5.4,5.03,74800,37840,4/6/2021
TV,Grupo Televisa S.A.,9.55,0.47,5.18%,9.58,9.08,2042900,1753530,4/6/2021
FLXS,Flexsteel Inds,40.05,1.97,5.17%,41.91,38.25,63200,62520,4/6/2021
BGCP,Bgc Partners Cl A,5.5,0.27,5.16%,5.66,5.18,11426101,4342690,4/6/2021
SLGG,Super League Gaming Inc,7.13,0.35,5.16%,7.53,6.7,2788500,8986025,4/6/2021
FRGI,Fiesta Restaurant Gp,13.25,0.65,5.16%,13.73,12.59,112500,119925,4/6/2021
TMBR,Timber Pharmaceuticals Inc,2.25,0.11,5.14%,2.26,2.07,2099400,15075995,4/6/2021
SNAP,Snap Inc,56.88,2.77,5.12%,58.13,55.97,27868800,20440270,4/6/2021
CONN,Conn's Inc,23.25,1.13,5.11%,23.72,22.34,704000,522675,4/6/2021
Z,Zillow Group Cl C,140.29,6.81,5.10%,142.15,134,4506500,3861645,4/6/2021
SI,Silvergate Capital Corp Cl A,157.89,7.58,5.04%,164,151.31,1249500,1674400,4/6/2021
CMCM,Cheetah Mobile Inc,2.32,0.11,4.98%,2.36,2.21,697400,1141895,4/6/2021
ONCT,Oncternal Therapeutics Inc,8.66,0.41,4.97%,8.94,8.11,856800,1485025,4/6/2021
KIRK,Kirkland's Inc,29.01,1.37,4.96%,29.57,27.5,459100,859605,4/6/2021
SIBN,Si-Bone Inc,32.37,1.53,4.96%,32.48,30.72,202600,445270,4/6/2021
CARS,Cars.com Inc,14.08,0.66,4.92%,14.25,13.43,423200,539595,4/6/2021
BOOT,Boot Barn Holdings Inc,66.01,3.09,4.91%,66.87,63.85,593900,423825,4/6/2021
MHLD,Maiden Holdings Ltd,3.43,0.16,4.89%,3.43,3.24,196200,232575,4/6/2021
QTRX,Quanterix Corp,65.95,3.07,4.88%,68.83,63.15,409100,397665,4/6/2021
SGBX,Sg Blocks Inc,4.73,0.22,4.88%,5.74,4.3,6227200,719105,4/6/2021
DCOM,Dime Community Bancshares Inc,31.86,1.46,4.80%,33.98,31.65,219300,164655,4/6/2021
ZG,Zillow Grp Inc Cl A,143.77,6.56,4.78%,145.62,137.51,709200,750975,4/6/2021
W,Wayfair Inc,339.15,15.42,4.76%,343.8,325.14,1419500,1454840,4/6/2021
TRIT,Triterras Inc Cl A,7.71,0.35,4.76%,7.77,7.34,827900,1167530,4/6/2021
USDP,USD Partners LP,5.95,0.27,4.75%,6,5.58,240900,162825,4/6/2021
PINS,Pinterest Inc,83.29,3.76,4.73%,84.37,80.43,12118500,10984010,4/6/2021
