Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
ASC,Ardmore Shipping Corp,4.17,0.2,5.04%,4.19,3.93,292319,280336,16:06 ET
OLO,Olo Inc Cl A,29.95,1.43,5.01%,29.98,28.07,649086,894629,4/19/2021
BOCH,Bank of Commerce Hld,13.45,0.64,5.00%,13.54,12.45,101166,76053,4/19/2021
GRAY,Graybug Vision Inc,4.98,0.23,4.84%,5.42,4.61,1030936,951292,4/19/2021
PVAC,Penn VA Corp,12.61,0.58,4.82%,12.87,12.23,485183,400749,4/19/2021
SGU,Star Gas Partners LP,10.91,0.5,4.80%,10.96,10.52,159593,64305,4/19/2021
NEXT,Nextdecade Corp,2.21,0.1,4.74%,2.23,2.05,448228,2576246,4/19/2021
GSX,Gsx Techedu Inc ADR,26.7,1.2,4.71%,26.99,24.8,11641088,21137174,4/19/2021
LYRA,Lyra Therapeutics Inc,10.96,0.49,4.68%,11.04,10.41,74614,79896,4/19/2021
SUP,Superior Industries International,5.16,0.23,4.67%,5.2,4.85,208045,281912,4/19/2021
DAO,Youdao Inc ADR,24.91,1.11,4.66%,25.3,23.9,327443,494932,4/19/2021
GRIN,Grindrod Shipping Holdings Ltd,7.55,0.33,4.57%,7.65,7.2,104516,37491,4/19/2021
TNK,Teekay Tankers Ltd,13.26,0.57,4.49%,13.39,12.61,301874,449819,4/19/2021
LMB,Limbach Holdings Inc,10.95,0.46,4.39%,11.08,10.13,137088,142274,16:03 ET
OPGN,Opgen Inc,2.38,0.1,4.39%,2.4,2.2,1079324,1832661,4/19/2021
ICLK,Iclick Interactive Asia Group Ltd ADR,12.45,0.52,4.36%,12.76,11.86,1319032,595727,4/19/2021
SCKT,Socket Mobile,6.59,0.27,4.27%,6.59,6.27,203520,217731,4/19/2021
VVV,Valvoline Inc,28.36,1.15,4.23%,28.71,28.05,2338474,1263274,4/19/2021
EVK,Ever Glory Intl Group,2.22,0.09,4.23%,2.34,2.13,563224,189151,4/19/2021
GSMG,Glory Star New Media Group Holdings Ltd,4.03,0.16,4.13%,4.1,3.81,340517,377641,4/19/2021
ADMS,Adamas Pharma,5.3,0.21,4.13%,5.39,4.96,520528,339401,4/19/2021
HMLP,Hoegh Lng Partners LP,16.03,0.63,4.09%,16.15,15.5,238415,128746,4/19/2021
TGS,Transportadora DE Gas Sa Ord B,4.58,0.18,4.09%,4.6,4.38,73072,80549,4/19/2021
WOOF,Petco Health and Wellness Company Inc Cl A,23.64,0.93,4.07%,24.08,22.69,3182621,1679691,4/19/2021
RKDA,Arcadia Bio,2.56,0.1,4.07%,2.56,2.37,648938,5243707,4/19/2021
SLCT,Select Bancorp Inc,11.6,0.45,4.04%,11.91,11.25,82693,36345,4/19/2021
RAD,Rite Aid Corp,18.35,0.71,4.02%,18.75,17.74,2202724,2574496,4/19/2021
INSW,International Seaways Inc,18.73,0.72,4.00%,18.95,17.82,269678,291769,4/19/2021
INVO,Invo Bioscience Inc,3.92,0.15,3.98%,3.93,3.55,138825,255321,4/19/2021
ACB,Aurora Cannabis Inc,8.19,0.31,3.93%,8.34,7.83,8538218,8562271,4/19/2021
MVBF,Mvb Financial Corp,39.53,1.48,3.89%,39.99,37.8,52661,58678,4/19/2021
ISIG,Insignia Systems,5.07,0.19,3.89%,5.16,4.84,57898,724560,4/19/2021
WLL,Whiting Petroleum Corp,36.65,1.37,3.88%,36.79,35.03,483230,708622,4/19/2021
TK,Teekay Shipping Corp,3.22,0.12,3.87%,3.22,3.09,467881,729984,4/19/2021
SBOW,Silverbow Resources Inc,8.07,0.3,3.86%,8.44,7.6,94496,35250,4/19/2021
DHT,Dht Holdings,6.06,0.22,3.77%,6.07,5.85,3003073,2853784,4/19/2021
CNK,Cinemark Holdings Inc,22.06,0.8,3.76%,22.06,21.25,2776701,3187160,4/19/2021
ASO,Academy Sports and Outdoors Inc,31.92,1.15,3.74%,32,30.25,2108980,3103404,4/19/2021
HALL,Hallmark Fin Svc,4.16,0.15,3.74%,4.19,3.83,184447,172042,4/19/2021
THCB,Tuscan Holdings Corp,11.43,0.41,3.72%,12.02,10.6,1526362,1208213,4/19/2021
PLTK,Playtika Holding Corp,26.88,0.95,3.66%,26.93,25.85,642915,901591,4/19/2021
YQ,17 Education & Technology Group Inc ADR,6.51,0.23,3.66%,6.56,6.22,754724,1400611,4/19/2021
BLIN,Bridgeline Digital,2.56,0.09,3.64%,2.63,2.48,119204,312330,4/19/2021
MCF,Contango Oil & Gas Company,3.73,0.13,3.61%,3.83,3.56,895212,706176,4/19/2021
VMW,Vmware Inc,170.03,5.93,3.61%,172,163.96,2573820,1219291,4/19/2021
ALB,Albemarle Corp,157.5,5.47,3.60%,159.76,154.79,1258621,994256,4/19/2021
GLOP,Gaslog Partners LP,2.6,0.09,3.59%,2.62,2.51,290724,564311,4/19/2021
IMBI,Imedia Brands Inc,7.81,0.27,3.58%,7.88,7.24,85291,68620,4/19/2021
LCI,Lannett Co. Inc,4.93,0.17,3.57%,4.94,4.54,566876,483404,4/19/2021
AKUS,Akouos Inc,14.25,0.49,3.56%,14.47,13.63,166720,188211,4/19/2021
AMC,Amc Entertainment Holdings Inc,9.66,0.33,3.54%,9.81,9.38,32583496,57729895,4/19/2021
YJ,Yunji Inc,2.06,0.07,3.52%,2.07,1.92,298682,357064,4/19/2021
UK,Ucommune Intl Ltd,2.35,0.08,3.52%,2.4,2.3,89002,189660,4/19/2021
LPI,Laredo Petroleum Holdings Inc,35.9,1.2,3.46%,36.31,34.66,299660,495933,4/19/2021
MX,Magnachip Semiconductor Corp,26.01,0.86,3.42%,26.05,25.22,1544604,1774130,4/19/2021
TOMZ,Tomi Environmental Solutions Inc,3.65,0.12,3.40%,3.79,3.55,50232,117362,4/19/2021
CVAC,Curevac N.V.,113,3.71,3.39%,113,109.02,1790161,915903,4/19/2021
TV,Grupo Televisa S.A.,13.47,0.44,3.38%,13.63,12.8,5369429,5015432,4/19/2021
STL,Sterling Bancorp,24.62,0.79,3.32%,25.04,23.8,9469344,5008752,4/19/2021
SBGI,Sinclair Brdcst A,31.06,0.98,3.26%,31.48,30.04,813452,852603,4/19/2021
GLMD,Galmed Pharmaceutica,3.17,0.1,3.26%,3.17,3.05,137142,198197,4/19/2021
XFOR,X4 Pharmaceuticals Inc,9.3,0.29,3.22%,9.42,8.74,92581,126289,4/19/2021
CWH,Camping World Holdings Inc,43.02,1.34,3.21%,43.1,41.15,876806,1000820,4/19/2021
OGI,Organigram Hlds Inc,2.6,0.08,3.17%,2.72,2.44,11180597,10664260,4/19/2021
GBR,New Concept Energy Inc,4.27,0.13,3.14%,4.3,4.12,277877,1446869,4/19/2021
KLR,Kaleyra Inc,13.51,0.41,3.13%,13.82,12.87,451234,299207,4/19/2021
LOAN,Manhattan Bridge,6.26,0.19,3.13%,6.33,6.06,75293,51070,4/19/2021
VOC,Voc Energy Trust,3.63,0.11,3.13%,3.64,3.53,133656,92208,4/19/2021
USAU,U.S. Gold Corp,10.58,0.32,3.12%,10.89,10.31,63224,49771,4/19/2021
SFL,Ship Finance International,7.65,0.23,3.10%,7.74,7.46,1226805,1276125,4/19/2021
FLNG,Flex Lng Ltd,12.06,0.36,3.08%,12.15,11.69,121585,58729,16:04 ET
JACK,Jack IN The Box Inc,121.52,3.57,3.03%,121.64,117.5,463594,342505,4/19/2021
FUBO,Fubotv Inc,19.43,0.57,3.02%,19.47,17.41,16647734,20083951,4/19/2021
YSG,Yatsen Holding Limited ADR,10.04,0.29,2.97%,10.19,9.63,2266202,2563885,4/19/2021
TEDU,Tarena Intl ADR,3.13,0.09,2.96%,3.19,3.02,125905,245425,4/19/2021
TCAC,Tuatara Capital Acquisition Corporation Cl A,10.12,0.29,2.95%,10.12,9.79,99652,N/A,4/19/2021
BJRI,Bj's Restaurants Inc,60.4,1.71,2.91%,61.45,58.5,321628,277181,4/19/2021
OBLN,Obalon Therapeutics Inc,2.48,0.07,2.90%,2.93,2.25,5181099,594175,4/19/2021
ZVO,Zovio Inc,3.91,0.11,2.89%,4.04,3.76,417777,395469,4/19/2021
NM,Navios Maritime Holdings Inc,9.27,0.26,2.89%,9.47,8.93,251096,403470,4/19/2021
NWHM,New Home Co. Llc,6.42,0.18,2.88%,6.47,6,95574,47059,4/19/2021
BBVA,Banco Bilbao Viscaya Argentaria S.A.,5.42,0.15,2.85%,5.47,5.4,2310410,1925061,4/19/2021
YTEN,Yield10 Bioscience Inc,9.37,0.26,2.85%,9.56,8.72,59180,45289,4/19/2021
TGP,Teekay Lng Partners LP,14.93,0.41,2.82%,14.95,14.53,133466,170758,4/19/2021
RYTM,Rhythm Pharmaceuticals Inc,20.26,0.55,2.79%,20.39,19.25,546423,426206,4/19/2021
IMAX,Imax Corp,21.75,0.59,2.79%,21.79,20.89,1520899,898340,4/19/2021
TMST,Timken Steel Corp,11.48,0.31,2.78%,12.08,11.05,910639,919042,4/19/2021
IDT,IDT Corp,23.27,0.63,2.78%,23.36,22,142384,93459,4/19/2021
OSW,Onespaworld Holdings Ltd,10.86,0.29,2.74%,10.94,10.59,338752,313333,4/19/2021
PPIH,Perma-Pipe International Holdings Inc,6.37,0.17,2.74%,6.75,6.24,59636,16627,4/19/2021
MMX,Maverix Metals Inc,6.05,0.16,2.72%,6.11,5.82,160702,109475,4/19/2021
GTIM,Good Times Rest,4.55,0.12,2.71%,4.64,4.35,78658,177053,4/19/2021
RYAM,Rayonier Advanced Materials Inc,9.56,0.25,2.69%,9.7,9.25,596162,526473,4/19/2021
VIST,Vista Oil & Gas S.A.B. DE C.V.,2.67,0.07,2.69%,2.68,2.6,232194,274370,4/19/2021
SABR,Sabre Corp,15.39,0.4,2.67%,15.4,14.61,7011878,5523754,4/19/2021
LPG,Dorian Lpg Ltd,13.24,0.34,2.64%,13.25,12.89,243167,385798,4/19/2021
CZWI,Citizens Community,14.75,0.38,2.64%,14.79,14.36,61080,31349,4/19/2021
GOL,Gol Linhas Aereas Inteligentes S.A.,8.36,0.21,2.58%,8.46,8.1,1125865,1835798,4/19/2021
OSS,One Stop Systems Inc,4.79,0.12,2.57%,5.05,4.41,275179,242284,4/19/2021
CLDX,Celldex Therapeutics,24.15,0.6,2.55%,24.38,23.23,285940,929467,4/19/2021
RVP,Retractable Technologies,11.28,0.28,2.55%,11.29,10.32,984970,493004,4/19/2021
CLSD,Clearside Biomedi,2.83,0.07,2.54%,2.93,2.57,334245,278572,4/19/2021
VNRX,Volitionrx Ltd,3.26,0.08,2.52%,3.31,3.14,248250,300253,4/19/2021
EURN,Euronav NV,8.57,0.21,2.51%,8.63,8.51,2064588,1851939,4/19/2021
STNG,Scorpio Tankers Inc,18.79,0.46,2.51%,18.92,18.22,777555,1057508,4/19/2021
INBX,Inhibrx Inc,18.48,0.45,2.50%,19.23,17.51,68762,109988,16:02 ET
HALO,Halozyme Therapeutic,47.56,1.15,2.48%,47.63,45.8,1755268,1128813,4/19/2021
PJT,Pjt Partners Inc Cl A,71.53,1.73,2.48%,71.53,69.43,190597,214385,4/19/2021
PAHC,Phibro Anl Htlh A,25.03,0.6,2.46%,25.1,24.08,147266,93088,4/19/2021
IMCR,Immunocore Holdings Plc ADR,39.19,0.94,2.46%,40.09,36.92,75508,107735,4/19/2021
Downloaded from Barchart.com as of 04-19-2021 05:01pm CDT,,,,,,,,,
