Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
MRLN,Marlin Business Serv,21.46,7.22,50.70%,22.9,20.75,1571252,108008,4/19/2021
KNL,Knoll Inc,23.3,6.07,35.23%,23.46,22.57,27977885,1642434,4/19/2021
AMBO,Ambow Education Holding Ltd,2.45,0.61,33.15%,3.19,2.34,178543375,9747313,4/19/2021
CGA,China Green Agriculture,16.87,3.72,28.29%,17.73,12.52,2477354,405608,4/19/2021
PETZ,Tdh Holdings Inc,2.71,0.59,27.83%,3.09,2.02,5358188,494994,4/19/2021
GALT,Galectin Therapeutic,2.78,0.59,26.94%,2.82,2.23,11430220,5182271,4/19/2021
CMMB,Chemomab Therapeutics Ltd,34.49,7.23,26.52%,46.17,26.12,1627977,308694,4/19/2021
BBQ,Bbq Holdings Inc,13.83,2.61,23.26%,13.99,11.05,431786,178689,4/19/2021
MOXC,Moxian Inc,4.65,0.83,21.73%,4.81,3.72,1354737,1826892,4/19/2021
AMRB,American River Bkshs,19.9,3.55,21.71%,21.08,19.9,302202,41765,4/19/2021
RCON,Recon Technology Ltd,8.05,1.41,21.23%,8.13,6.42,2001924,2519106,4/19/2021
RAIL,Freightcar America,5.49,0.81,17.31%,5.72,4.62,5299589,6293639,4/19/2021
IMH,Impac Mortgage Holdings,2.28,0.33,16.92%,2.34,2.04,662483,188724,4/19/2021
CRCT,Cricut Inc Cl A,23.34,3.34,16.70%,24.4,20.57,2614733,N/A,4/19/2021
FUTU,Futu Holdings Ltd,177.92,24.91,16.28%,178.18,152.62,13928223,9375141,4/19/2021
AHT,Ashford Hospitality Trust Inc,2.21,0.29,15.10%,2.31,1.97,26007797,10587774,4/19/2021
IMNM,Immunome Inc,27.53,3.47,14.42%,27.74,24.07,61191,74995,4/19/2021
SYTA,Siyata Mobile Inc,10.15,1.24,13.92%,11,9.61,104664,52693,4/19/2021
PRFX,Painreform Ltd,3.53,0.43,13.87%,3.53,2.85,194961,65088,4/19/2021
OBCI,Ocean Bio Chem Inc,14.17,1.58,12.55%,14.38,12.47,75203,19395,4/19/2021
AKTX,Akari Therapeutics,2.43,0.26,11.98%,2.5,2.06,227799,347600,4/19/2021
IKNA,Ikena Oncology Inc,19.94,1.95,10.84%,20.17,17,129997,N/A,4/19/2021
SJ,Scienjoy Holding Corp,9.49,0.92,10.74%,9.55,8.57,61970,2591554,4/19/2021
XXII,22nd Century Group Inc,3.55,0.34,10.59%,3.97,3.01,11806954,2418088,4/19/2021
APEN,Apollo Endosurgery Inc,6.2,0.57,10.12%,6.3,5.6,365386,146904,4/19/2021
EGLE,Eagle Bulk Ship,40.96,3.63,9.72%,41.12,37.33,265738,108707,4/19/2021
HOG,Harley-Davidson Inc,44.29,3.91,9.68%,46.44,43.61,17427082,2727159,4/19/2021
CLOV,Clover Health Investments Corp,9.67,0.85,9.64%,10.57,9.17,236177406,34609859,4/19/2021
SPLP,Steel Partners Hlds,20.83,1.83,9.63%,20.9,19.02,132915,33196,4/19/2021
LOV,Spark Networks Plc,7.36,0.61,9.04%,7.5,6.62,338435,157832,4/19/2021
HBP,Huttig Bldg Products,4.17,0.35,9.02%,4.2,3.83,116271,41089,4/19/2021
BOLT,Bolt Biotherapeutics Inc,24.3,1.94,8.68%,24.35,22.1,114269,202093,4/19/2021
CATB,Catabasis Pharma,2.43,0.19,8.48%,2.45,2.04,980948,465242,4/19/2021
MACK,Merrimack Pharmaceuticals Inc,7.59,0.57,8.12%,7.81,6.94,153045,52572,4/19/2021
TAOP,Taoping Inc,6.42,0.48,8.08%,6.52,5.61,820357,2233593,4/19/2021
NMM,Navios Maritime Partners LP,29.14,2.17,8.05%,29.14,26.75,779317,633391,4/19/2021
ATLC,Atlanticus Hld Cp,34.97,2.58,7.97%,35.74,31.86,156162,62318,4/19/2021
NEW,Puxin Ltd,3.82,0.28,7.91%,3.83,3.48,407296,513435,4/19/2021
TH,Target Hospitality Corp,3.01,0.22,7.89%,3.08,2.79,742306,2883515,4/19/2021
ONE,Onesmart International Education Group Ltd A,2.46,0.18,7.89%,2.5,2.2,256080,363954,4/19/2021
RFP,Resolute Forest Products Inc,15.94,1.15,7.78%,16.67,14.69,3434871,1005879,4/19/2021
ALOT,Astronova Inc,16.35,1.18,7.78%,16.6,15.25,82404,45650,4/19/2021
ESEA,Euroseas Ltd,12.39,0.89,7.74%,13,11.55,212211,82116,4/19/2021
HONE,Harborone Bancorp Inc,15,1.06,7.60%,15.07,14.25,875241,230867,4/19/2021
UAVS,Ageagle Aerial Systems Inc,5.4,0.38,7.57%,5.74,4.95,9612759,4047013,4/19/2021
LND,Brasilagro ADR,5.28,0.37,7.54%,5.39,4.94,65755,25303,4/19/2021
DSX,Diana Shipping Inc,3.29,0.23,7.52%,3.29,3.02,655425,613686,4/19/2021
GNK,Genco Shipping & Trading Ltd,12.62,0.87,7.40%,12.63,11.97,1106566,769138,4/19/2021
HGSH,China Hgs Real Est,2.22,0.15,7.25%,2.25,2.02,265932,201332,4/19/2021
TPGY,Tpg Pace Beneficial Finance Corp Cl A,15.43,1.04,7.23%,15.6,14.6,1890969,1029113,4/19/2021
RXDX,Prometheus Biosciences Inc,27.8,1.81,6.96%,27.89,24.5,98391,150455,4/19/2021
NTP,Nam Tai Electronics,12.97,0.82,6.75%,13.47,11.98,260194,209290,4/19/2021
MANU,Manchester United Ltd,17.26,1.09,6.74%,17.95,17.13,1556191,458355,4/19/2021
BAK,Braskem S.A.,19,1.19,6.68%,19,18.18,473794,321495,4/19/2021
IGIC,International General Insurance Hldg Inc,7.46,0.46,6.57%,7.55,6.86,103990,395229,4/19/2021
QFIN,360 Finance Inc ADR,25.32,1.56,6.57%,25.88,23.65,2627173,2608039,4/19/2021
TGLS,Tecnoglass Inc,12.81,0.78,6.48%,12.92,11.87,170384,280169,4/19/2021
AACG,Ata Creativity Global,2.99,0.18,6.41%,3.03,2.8,172790,830204,4/19/2021
RRD,Donnelley R.R. & Sons Company,4.98,0.3,6.41%,5.3,4.75,3936997,906155,4/19/2021
AMPY,Amplify Energy Corp,2.66,0.16,6.40%,2.67,2.47,451482,649449,4/19/2021
SBLK,Star Bulk Carriers,17.01,1.02,6.38%,17.29,16.4,1935244,1148717,4/19/2021
SB,Safe Bulkers Inc,2.5,0.15,6.38%,2.5,2.29,774608,712185,4/19/2021
CIH,China Index Holdings Ltd,2.27,0.13,6.32%,2.27,2.15,61301,48550,16:02 ET
CLNE,Clean Energy Fuels,11.84,0.7,6.28%,14.1,11.68,69608133,7518316,4/19/2021
GME,Gamestop Corp,164.37,9.68,6.26%,175.2,162.33,10483905,14733830,4/19/2021
PBR.A,Petroleo Brasileiro Sa Petrobr ADR,8.68,0.51,6.24%,8.95,8.11,20129830,8614326,4/19/2021
GOGL,Golden Ocean Gp,8.13,0.47,6.14%,8.13,7.85,1053195,732520,4/19/2021
CBNK,Capital Bancorp Inc,21.88,1.24,6.01%,21.97,20.72,164425,34266,16:02 ET
CLII,Climate Real Impact I Acquisition Corp,11.7,0.66,5.98%,11.85,11.15,1159823,948671,4/19/2021
LTHM,Livent Corp,17.59,0.99,5.96%,17.95,16.89,4277770,2381874,4/19/2021
EMKR,Emcore Corp,6.28,0.35,5.90%,6.49,6.03,1093764,453023,4/19/2021
AXLA,Axcella Health Inc,4.5,0.25,5.88%,4.56,4.1,113171,87869,4/19/2021
RELL,Richardson Electrncs,7.75,0.43,5.87%,7.87,7.25,145704,141260,4/19/2021
STRM,Streamline Health So,2.19,0.12,5.80%,2.23,2.02,131731,306857,4/19/2021
PETQ,Petiq Inc Cl A,39.14,2.14,5.78%,41.15,38.77,973612,259671,4/19/2021
QLI,Qilian International Holding Group Ltd,4.42,0.24,5.74%,4.45,4.14,94890,125299,4/19/2021
BUR,Burford Capital Limited,10.72,0.57,5.62%,10.87,10.4,237436,200212,16:02 ET
ICON,Iconix Brand Group,2.08,0.11,5.58%,2.09,1.9,144762,160763,4/19/2021
WHLR,Wheeler Real Estate,4.27,0.22,5.43%,4.36,4.01,109283,102114,4/19/2021
TIGR,Up Fintech Holding Ltd ADR,20.21,1.04,5.43%,20.51,18.51,11097556,11007723,4/19/2021
OTIC,Otonomy Inc,2.33,0.12,5.43%,2.34,2.19,452959,800213,4/19/2021
FRO,Frontline Ltd,7.42,0.38,5.40%,7.45,7.26,2167132,2114237,4/19/2021
VSTO,Vista Outdoor Inc,33.41,1.7,5.36%,33.7,31.98,1150404,938895,4/19/2021
INVE,Identiv Inc,14.78,0.74,5.27%,15.14,14.18,373321,273141,4/19/2021
PBR,Petroleo Brasileiro S.A. Petrobras,8.54,0.42,5.17%,8.73,8.02,57327145,30068277,4/19/2021
AGC,Altimeter Growth Corp Cl A,13.16,0.64,5.11%,13.29,12.66,2575532,3120427,4/19/2021
SM,Sm Energy Company,16.96,0.82,5.08%,17.45,16.18,3027670,3703253,4/19/2021
VLDR,Velodyne Lidar Inc.,14.06,0.68,5.08%,14.18,13.11,3311250,3312607,4/19/2021
EVAX,Evaxion Biotech A/S ADR,6.85,0.33,5.06%,7.05,6.09,81040,123442,4/19/2021
NDRA,Endra Life Sciences Inc,2.29,0.11,5.05%,2.3,2.05,1180781,1286474,4/19/2021
